idx,seed,dataset,accuracy_fp32,accuracy_esp,key,espdl_size_bytes,torch_size_bytes,edgegpu_latency,edgegpu_energy,raspi4_latency,edgetpu_latency,pixel3_latency,eyeriss_latency,eyeriss_energy,eyeriss_arithmetic_intensity,fpga_latency,fpga_energy,average_hw_metric,arch_index,flop,test_acc,arch_0,arch_1,arch_2,arch_3,arch_4,arch_5
390,888,cifar10,75.57,63.03,200,187904,553554,2.784433364868164,12.22644690513611,5.402513900044141,0.6079868119995808,3.10098,4.628660000000002,0.9026101085,2.6348779358235475,1.95216,13.66512,38646.52467850549,390,7.78305,75.57,none,skip_connect,avg_pool_3x3,avg_pool_3x3,skip_connect,none
774,888,cifar10,91.49,90.28,200,718112,2922731,6.421670913696289,29.180072631835937,42.573008719991776,1.325886029000685,17.5469,6.348980000000003,1.2824595165,17.923772231415303,4.57296,32.01072,221215636.91971636,774,82.49409,91.49,avg_pool_3x3,nor_conv_3x3,nor_conv_3x3,nor_conv_1x1,skip_connect,skip_connect
313,888,cifar10,75.74,63.43,200,180112,578096,2.7052974700927734,11.876255893707276,5.422287640030845,0.609599616000196,3.09324,6.103220000000002,1.1804329085,1.8494716100921615,2.36176,16.53232,92407.09696709692,313,7.78305,75.74,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,none,skip_connect,none
280,888,cifar10,79.57,33.54,200,230304,755363,4.03287410736084,17.62970916032791,7.87721048000094,-1.0,4.05884,3.399860000000001,0.6560350365000001,5.5954684920829,2.05776,14.40432,-150282.9613661648,280,11.71521,79.56,none,skip_connect,none,skip_connect,nor_conv_1x1,avg_pool_3x3
369,888,cifar10,90.7,89.52,200,723312,2723217,5.919532775878906,27.429141705830897,42.60156680000364,1.479354777000481,18.294400000000003,7.577780000000003,1.5290345885,14.38163596609415,4.46736,31.27152,303022567.4013273,369,78.56193,90.69,nor_conv_3x3,skip_connect,nor_conv_3x3,none,avg_pool_3x3,avg_pool_3x3
665,888,cifar10,91.76,91.59,200,444544,1612085,3.746647834777832,16.9517081284523,23.97846881998703,0.9643309589991986,9.90645,4.628660000000002,0.9379995485,14.615637999956666,2.80016,19.60112,3466918.188484716,665,43.17249,91.76,avg_pool_3x3,skip_connect,skip_connect,skip_connect,none,nor_conv_3x3
529,888,cifar10,90.03,35.2,200,264624,961109,3.7719011306762695,16.558645963668823,10.362951260030968,-1.0,3.10873,2.1710600000000007,0.4094599645,12.684972307253297,2.16336,15.14352,-58599.03743284035,529,15.64737,90.05,skip_connect,none,none,skip_connect,nor_conv_1x1,nor_conv_1x1
830,888,cifar10,78.91,42.84,200,424592,1629901,5.226469039916992,23.278693103790285,24.30127742001787,1.2537161069994909,10.3433,6.103220000000002,1.2158223485,10.258998026736016,3.20976,22.46832,20517607.389866587,830,43.17249,78.91,avg_pool_3x3,avg_pool_3x3,skip_connect,nor_conv_3x3,skip_connect,skip_connect
1116,888,cifar10,75.27,26.89,200,444896,1621475,5.047311782836914,22.674206965764363,22.36097034001432,-1.0,9.05639,4.628660000000002,0.9379995485,14.615637999956666,2.80016,19.60112,-5522804.19814056,1116,43.17249,75.26,none,none,skip_connect,avg_pool_3x3,nor_conv_3x3,skip_connect
956,888,cifar10,89.09,88.62,200,244176,783619,1.87835693359375,8.031854248046875,6.376209759982885,0.397046625999792,1.7681300000000002,4.874420000000002,0.9338578365,3.4990663350154834,2.46736,17.271520000000002,13100.233417342946,956,11.71521,89.1,skip_connect,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,none,none
687,888,cifar10,85.49,75.09,200,216976,792619,5.556302070617676,24.25511063893636,13.368603760027328,1.506255982998482,5.8791,6.348980000000003,1.2116806365,2.545403624468115,2.87696,20.13872,7111195.29417208,687,11.71521,85.49,nor_conv_1x1,avg_pool_3x3,avg_pool_3x3,skip_connect,avg_pool_3x3,skip_connect
124,888,cifar10,92.12,92.0,0,461024,1817237,5.491833686828613,24.469780297279357,23.176527300020098,0.7319559449997541,8.07907,3.3998600000000003,0.6914244764999999,22.498323538851867,2.90576,20.34032,2558971.382527648,124,47.10465,92.13,skip_connect,none,skip_connect,nor_conv_3x3,nor_conv_1x1,skip_connect
708,888,cifar10,92.84,92.86,200,1002816,3994193,5.524787902832031,26.09541486104329,53.65059865995136,1.1291626399997767,22.4,6.348980000000003,1.3178489564999998,25.612956534888895,5.42096,37.94672,336727780.9673831,708,117.88353,92.83,skip_connect,nor_conv_3x3,nor_conv_3x3,nor_conv_1x1,none,nor_conv_3x3
44,888,cifar10,79.06,66.0,0,240816,771049,4.927978515625,21.451490478515623,10.65821677999338,1.1907639410001138,4.114319999999999,4.8744200000000015,0.9338578365,3.4990663350154834,2.46736,17.271520000000002,1070782.7440124294,44,11.71521,79.04,avg_pool_3x3,skip_connect,nor_conv_1x1,none,skip_connect,avg_pool_3x3
481,888,cifar10,86.71,58.61,200,256928,998091,5.9588623046875,25.938927612304685,18.398219980008435,1.2121644969993213,4.78705,5.120180000000002,0.9651055645,4.181177211239183,2.98256,20.87792,5077584.559421524,481,15.64737,86.71,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,nor_conv_1x1,skip_connect,skip_connect
195,888,cifar10,89.92,89.74,0,435936,1617525,4.037890434265137,18.424894051551817,22.25617775999126,-1.0,8.44563,4.628660000000002,0.9379995485,14.615637999956666,2.80016,19.60112,-3332451.2678033905,195,43.17249,89.92,avg_pool_3x3,skip_connect,none,none,nor_conv_3x3,skip_connect
720,888,cifar10,91.79,23.29,200,1019776,4000849,3.1714391708374023,14.165233056545256,33.23898230002669,-1.0,14.6241,6.348980000000003,1.3178489564999998,25.612956534888895,5.42096,37.94672,-37585213.192624606,720,117.88353,91.81,none,nor_conv_1x1,nor_conv_3x3,nor_conv_3x3,nor_conv_3x3,none
1220,888,cifar10,92.04,91.89,200,449840,1628067,4.017677307128906,18.408997421264647,23.103854300061357,-1.0,7.03112,4.628660000000002,0.9379995485,14.615637999956666,2.80016,19.60112,-2863095.1486263657,1220,43.17249,92.04,none,none,none,nor_conv_3x3,skip_connect,avg_pool_3x3
1276,888,cifar10,80.13,45.14,200,227792,803543,5.237054824829102,22.990670680999756,18.388621759950183,1.4360862580015237,7.06667,6.348980000000003,1.2116806365,2.545403624468115,2.87696,20.13872,10014772.597108023,1276,11.71521,80.13,avg_pool_3x3,none,skip_connect,avg_pool_3x3,nor_conv_1x1,avg_pool_3x3
421,888,cifar10,91.54,91.41,200,442960,1617525,4.030327796936035,18.31380950927734,22.608188040030655,0.8506012480002028,9.36899,4.628660000000002,0.9379995485,14.615637999956666,2.80016,19.60112,3169022.0065973653,421,43.17249,91.56,skip_connect,none,nor_conv_3x3,skip_connect,none,avg_pool_3x3
1230,888,cifar10,78.87,50.45,200,436576,1670359,4.666695594787598,21.56480034351349,25.10059047999675,-1.0,12.5539,7.577780000000003,1.4936451485000002,7.90320496110317,3.61936,25.33552,-32913081.694031835,1230,43.17249,78.88,avg_pool_3x3,none,avg_pool_3x3,none,avg_pool_3x3,nor_conv_3x3
1334,888,cifar10,89.25,85.81,200,271008,1009093,3.7672901153564458,16.248322267532348,7.8658582999923965,0.7367900279987225,3.14071,5.120180000000001,0.9651055645,4.181177211239183,2.98256,20.87792,342840.20981767634,1334,15.64737,89.26,skip_connect,avg_pool_3x3,nor_conv_1x1,nor_conv_1x1,avg_pool_3x3,none
564,888,cifar10,87.28,69.04,200,448112,1833837,6.111907958984375,27.301892852783205,27.262918619962875,1.1448189100010495,10.9225,4.8744200000000015,0.9692472765,14.069085832664296,3.31536,23.20752,20678437.594433185,564,47.10465,87.3,skip_connect,nor_conv_3x3,skip_connect,nor_conv_1x1,skip_connect,avg_pool_3x3
88,888,cifar10,88.59,9.74,0,323920,1183537,6.34800910949707,27.632883653640747,14.511211259959964,-1.0,2.89731,2.416820000000001,0.4407076924999999,12.028393341589998,2.67856,18.74992,-394510.09016612865,88,19.57953,88.6,none,nor_conv_1x1,skip_connect,nor_conv_1x1,nor_conv_1x1,skip_connect
492,888,cifar10,92.2,92.01,200,697456,2677397,5.218000411987305,24.310663919448853,35.221995639949455,0.8291349390001415,14.8755,4.628660000000002,0.9733889885,26.596398064089787,3.64816,25.53712,23131254.146092936,492,78.56193,92.19,nor_conv_3x3,nor_conv_3x3,none,skip_connect,skip_connect,skip_connect
864,888,cifar10,86.96,84.34,200,262896,985843,4.858078956604004,21.326966619491575,9.95965984002396,0.8070331279996026,4.78644,3.645620000000001,0.6872827644999999,6.289297634665844,2.57296,18.01072,462821.05290442856,864,15.64737,86.94,skip_connect,nor_conv_1x1,nor_conv_1x1,none,none,avg_pool_3x3
1411,888,cifar10,79.83,12.01,200,426256,1656720,5.270943641662598,23.678835819562273,31.57138167996891,1.5981005470002856,10.8873,7.577780000000003,1.4936451485,7.90320496110317,3.61936,25.33552,71156999.66907664,1411,43.17249,79.83,skip_connect,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3,skip_connect,avg_pool_3x3
786,888,cifar10,88.61,77.98,200,248832,781715,4.965023994445801,21.606129415829976,10.508807560036075,0.9941783069989468,5.191260000000001,4.8744200000000015,0.9338578365,3.4990663350154834,2.46736,17.271520000000002,1128640.476840625,786,11.71521,88.62,skip_connect,none,avg_pool_3x3,nor_conv_1x1,none,avg_pool_3x3
675,888,cifar10,65.7,16.21,200,202544,601550,4.665098190307617,20.59796354293823,13.482711980032036,1.5278534459994262,8.08906,7.577780000000003,1.4582557085000003,1.4247739561121917,2.77136,19.39952,9512653.827925436,675,7.78305,65.7,avg_pool_3x3,avg_pool_3x3,none,none,avg_pool_3x3,avg_pool_3x3
1095,888,cifar10,90.1,88.87,200,315920,997995,3.761744499206543,16.367350316047666,11.70495727994421,-1.0,4.73859,3.645620000000001,0.6872827644999999,6.289297634665844,2.57296,18.01072,-396513.1540055523,1095,15.64737,90.1,none,avg_pool_3x3,none,nor_conv_1x1,none,nor_conv_1x1
633,888,cifar10,86.7,10.0,200,306528,991795,4.355297088623047,19.28525550842285,10.01260363998881,-1.0,4.71114,3.645620000000001,0.6872827644999999,6.289297634665844,2.57296,18.01072,-460031.0834257236,633,15.64737,86.7,none,nor_conv_1x1,none,none,nor_conv_1x1,avg_pool_3x3
732,888,cifar10,93.52,93.29,200,1030432,4240551,7.26097583770752,33.75990715742111,60.698496460026945,1.575117339998542,24.9956,8.069300000000002,1.6269194844999997,19.48696844861478,6.34576,44.42032,2167793428.09844,732,121.81569,93.53,avg_pool_3x3,nor_conv_3x3,nor_conv_3x3,nor_conv_1x1,nor_conv_1x1,nor_conv_3x3
1355,888,cifar10,86.56,60.08,200,471952,1862462,5.877060890197754,26.476159310340883,27.5749087400618,1.5234406409999792,12.1462,6.348980000000003,1.2470700765,10.234587927941709,3.72496,26.07472,61056416.22144164,1355,47.10465,86.58,avg_pool_3x3,nor_conv_1x1,skip_connect,avg_pool_3x3,nor_conv_3x3,skip_connect
259,888,cifar10,89.15,86.01,200,506864,1844329,3.7058258056640625,15.990638351440433,25.423630000004778,-1.0,10.702,4.8744200000000015,0.9692472765,14.069085832664296,3.31536,23.20752,-5860980.436706024,259,47.10465,89.14,nor_conv_3x3,nor_conv_1x1,none,avg_pool_3x3,none,skip_connect
899,888,cifar10,75.52,64.4,200,448320,1650947,1.7438411712646484,7.587452936172485,6.710637799988035,0.6078010199998971,3.1037399999999997,6.103220000000002,1.2158223485,10.258998026736016,3.20976,22.46832,89636.68816579932,899,43.17249,75.53,none,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3,none,none
302,888,cifar10,83.54,45.31,200,240192,796515,5.619978904724121,24.4637681722641,13.453624980029415,1.4428083060001882,7.28562,6.348980000000003,1.2116806365,2.545403624468115,2.87696,20.13872,8666232.158104615,302,11.71521,83.57,avg_pool_3x3,nor_conv_1x1,skip_connect,none,avg_pool_3x3,avg_pool_3x3
552,888,cifar10,10.0,10.0,200,495120,1835413,0.6349420547485352,2.617231149673462,22.98966059999657,-1.0,8.89657,3.399860000000001,0.6914244764999999,22.498323538851867,2.90576,20.34032,-47223.11587148091,552,47.10465,10.0,none,nor_conv_1x1,none,none,nor_conv_3x3,none
909,888,cifar10,90.04,87.8,200,494400,1843453,5.664043426513672,25.373026536305748,25.71917733999726,0.9713724319990432,9.20287,4.8744200000000015,0.9692472765,14.069085832664296,3.31536,23.20752,12011076.840801366,909,47.10465,90.04,avg_pool_3x3,none,skip_connect,nor_conv_1x1,nor_conv_3x3,skip_connect
134,888,cifar10,90.31,87.37,0,332368,1209457,5.929093360900879,28.157264370918273,12.51012944005197,0.9343200749999596,4.12083,3.8913800000000016,0.7185304925,6.793315189634498,3.08816,21.61712,1500954.0671065012,134,19.57953,90.3,avg_pool_3x3,nor_conv_1x1,skip_connect,nor_conv_1x1,none,nor_conv_1x1
1401,888,cifar10,84.62,80.79,200,499248,1869381,5.355935096740723,24.12848761081695,27.040013760051806,1.2499228800006676,10.0201,6.348980000000003,1.2470700765,10.234587927941709,3.72496,26.07472,33656090.97473025,1401,47.10465,84.62,avg_pool_3x3,avg_pool_3x3,skip_connect,none,nor_conv_1x1,nor_conv_3x3
357,888,cifar10,87.02,76.52,200,451136,1856011,5.571718215942383,25.31788757324219,30.8766948000266,1.4562037880004937,11.5387,6.348980000000003,1.2470700765,10.234587927941709,3.72496,26.07472,56281095.11117558,357,47.10465,87.01,skip_connect,skip_connect,nor_conv_3x3,avg_pool_3x3,nor_conv_1x1,avg_pool_3x3
597,888,cifar10,91.29,90.76,200,498240,1845939,4.912838935852051,22.13233940601349,24.626084580013412,0.9021485510002094,10.5963,4.8744200000000015,0.9692472765,14.069085832664296,3.31536,23.20752,9304745.077196978,597,47.10465,91.27,skip_connect,none,nor_conv_3x3,nor_conv_1x1,none,avg_pool_3x3
576,888,cifar10,87.58,68.18,200,371936,1414993,6.454257965087891,28.08247640609741,12.104067580003177,0.7424659879998217,4.78058,2.662580000000001,0.4719554205,11.627845674811674,3.19376,22.35632,698677.0119599419,576,23.51169,87.57,nor_conv_1x1,nor_conv_1x1,skip_connect,none,nor_conv_1x1,nor_conv_1x1
1378,888,cifar10,91.43,91.29,200,520256,1851755,4.780707359313965,21.476531027158103,26.818084039987298,-1.0,10.0828,4.8744200000000015,0.9692472765,14.069085832664296,3.31536,23.20752,-10092114.221133236,1378,47.10465,91.44,none,avg_pool_3x3,none,nor_conv_1x1,skip_connect,nor_conv_3x3
446,888,cifar10,93.09,92.53,200,554592,2267467,6.146073341369629,27.454509615898132,27.72056050001993,0.9208761709996908,9.59647,3.8913800000000016,0.7539199325,19.072037932451035,3.93616,27.55312,13152205.228570873,446,54.96897,93.08,nor_conv_1x1,nor_conv_1x1,skip_connect,skip_connect,nor_conv_1x1,nor_conv_3x3
1366,888,cifar10,91.83,92.07,200,737744,2711979,3.3582639694213867,15.64615183353424,35.367687180041685,0.7490334140002233,10.9244,6.103220000000002,1.2512117884999998,18.66852444337987,4.05776,28.40432,13384076.873675635,1366,78.56193,91.82,avg_pool_3x3,skip_connect,none,nor_conv_3x3,none,nor_conv_3x3
400,888,cifar10,92.28,92.22,200,737072,2707571,3.6440658569335938,17.04876211166382,37.18359716003761,-1.0,13.292,6.103220000000002,1.2512117884999998,18.66852444337987,4.05776,28.40432,-27025977.31913113,400,78.56193,92.28,skip_connect,avg_pool_3x3,none,nor_conv_3x3,none,nor_conv_3x3
324,888,cifar10,82.48,10.0,200,285920,1027759,5.850214958190918,25.980804629325867,19.370923079986824,1.463043906999701,5.79968,6.594740000000003,1.2429283645,3.1315182551169403,3.39216,23.74512,16494175.21549268,324,15.64737,82.48,avg_pool_3x3,none,nor_conv_1x1,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1
504,888,cifar10,90.22,88.01,200,485104,1880809,5.651798248291016,25.461351108551025,28.36184822001087,1.6290625640012877,12.7073,7.823540000000004,1.5248928765,8.04259628308237,4.13456,28.941919999999996,120612675.68355703,504,47.10465,90.23,nor_conv_3x3,skip_connect,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1
999,888,cifar10,91.46,90.07,200,531040,2072307,5.648026466369629,25.37281756242116,24.95660740001767,1.0748570279993146,11.4643,5.120180000000001,1.0004950044999998,13.63768779714061,3.83056,26.813920000000003,23188461.847569793,999,51.03681,91.46,avg_pool_3x3,nor_conv_1x1,none,nor_conv_1x1,skip_connect,nor_conv_3x3
1073,888,cifar10,93.0,92.72,200,750848,2909785,5.215473175048828,24.29888952255249,38.16793314006645,0.8636545249992196,11.9949,4.874420000000002,1.0046367165,24.63910533031311,4.16336,29.14352,29773742.895345,1073,82.49409,93.0,skip_connect,skip_connect,nor_conv_3x3,none,nor_conv_3x3,nor_conv_1x1
31,888,cifar10,91.05,89.19,0,478464,1859037,4.950509071350098,22.123825039863583,26.139818119991105,1.3297695170003865,9.06619,6.348980000000003,1.2470700765,10.234587927941709,3.72496,26.07472,26542994.149695106,31,47.10465,91.07,skip_connect,nor_conv_1x1,none,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3
989,888,cifar10,85.28,47.03,200,472976,1885487,6.498498916625977,31.03033232688904,30.67280748000485,1.6513037770000665,12.8762,7.823540000000003,1.5248928765,8.04259628308237,4.13456,28.941919999999996,187744392.66418448,989,47.10465,85.28,avg_pool_3x3,nor_conv_1x1,skip_connect,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3
1137,888,cifar10,90.28,88.41,200,504400,2092294,6.440114974975586,28.76799359321594,27.941751899998053,1.6053363979990536,11.9732,6.594740000000003,1.2783178045,10.214029718600305,4.24016,29.681120000000004,105567967.78777888,1137,51.03681,90.29,avg_pool_3x3,nor_conv_1x1,nor_conv_3x3,avg_pool_3x3,nor_conv_1x1,skip_connect
819,888,cifar10,91.02,89.99,200,523248,2087561,6.12180233001709,27.34609100818634,27.54068741996889,1.431796757999109,13.2387,6.594740000000003,1.2783178045,10.214029718600305,4.24016,29.681120000000004,92720356.7922171,819,51.03681,91.02,avg_pool_3x3,avg_pool_3x3,skip_connect,nor_conv_1x1,nor_conv_1x1,nor_conv_3x3
1059,888,cifar10,93.4,93.25,200,516608,2074419,6.468386650085449,29.14008185863495,31.044704180021657,1.0637252439992153,11.5498,5.120180000000001,1.0004950044999998,13.63768779714061,3.83056,26.813920000000003,37826915.323857404,1059,51.03681,93.39,nor_conv_3x3,none,nor_conv_1x1,skip_connect,nor_conv_1x1,avg_pool_3x3
1159,888,cifar10,87.53,71.4,200,672320,2722238,5.6983137130737305,26.183751511573792,42.36862489997293,1.5742649269996036,17.586599999999997,7.577780000000003,1.5290345885,14.38163596609415,4.46736,31.27152,283296719.4674064,1159,78.56193,87.53,skip_connect,avg_pool_3x3,nor_conv_3x3,skip_connect,nor_conv_3x3,avg_pool_3x3
541,888,cifar10,93.73,93.63,200,734672,3127691,7.0533037185668945,34.49594516158104,42.9046410000592,1.097687538000173,16.1454,5.120180000000001,1.0358844445,23.09419838304203,4.67856,32.74992,150352770.93814328,541,86.42625,93.73,nor_conv_3x3,nor_conv_1x1,nor_conv_1x1,skip_connect,nor_conv_3x3,skip_connect
1241,888,cifar10,89.85,29.93,200,491120,1868357,5.036859512329102,22.627251882553097,25.73288537998451,1.2647965690011915,10.3154,6.348980000000003,1.2470700765,10.234587927941709,3.72496,26.07472,29425440.37833894,1241,47.10465,89.84,nor_conv_3x3,skip_connect,none,avg_pool_3x3,nor_conv_1x1,avg_pool_3x3
979,888,cifar10,90.95,91.09,200,729936,2715645,4.377932548522949,20.650707831382753,36.97368301996903,-1.0,14.8335,6.103220000000002,1.2512117885,18.66852444337987,4.05776,28.40432,-43641630.09422723,979,78.56193,90.94,nor_conv_3x3,none,none,none,nor_conv_3x3,avg_pool_3x3
270,888,cifar10,87.96,85.33,200,498128,1884713,4.0441083908081055,18.218708300590517,27.13895990003948,1.162568826000097,8.38108,7.823540000000003,1.5248928765,8.04259628308237,4.13456,28.941919999999996,27813235.22000352,270,47.10465,87.96,nor_conv_3x3,nor_conv_1x1,avg_pool_3x3,avg_pool_3x3,avg_pool_3x3,none
20,888,cifar10,89.97,67.78,0,709408,2718237,5.454921722412109,25.207193279266356,42.24455866002245,-1.0,13.3139,7.577780000000003,1.5290345885,14.38163596609415,4.46736,31.27152,-125183856.66332708,20,78.56193,89.95,none,avg_pool_3x3,avg_pool_3x3,skip_connect,nor_conv_3x3,nor_conv_3x3
1427,888,cifar10,91.45,88.2,200,564528,2298228,6.411962509155273,28.64223652839661,27.445665720006215,1.2557231549999417,10.1414,5.365940000000004,1.0317427325,13.288519297119164,4.34576,30.420320000000004,46979699.320811614,1427,54.96897,91.45,nor_conv_1x1,nor_conv_1x1,nor_conv_1x1,avg_pool_3x3,skip_connect,nor_conv_3x3
753,888,cifar10,84.15,83.25,200,211680,727575,2.3595237731933594,10.089323654174803,2.8815652399498504,0.4418684430002031,1.33998,1.9253,0.3782122365,13.958377020741192,1.64816,11.53712,562.3891547776202,753,11.71521,84.17,skip_connect,nor_conv_1x1,skip_connect,skip_connect,skip_connect,none
169,888,cifar10,88.46,84.57,0,494144,1887855,5.3803300857543945,24.238387036323548,28.31186714000069,-1.0,14.0033,7.823540000000004,1.5248928765,8.04259628308237,4.13456,28.941919999999996,-73809254.98747137,169,47.10465,88.47,avg_pool_3x3,nor_conv_3x3,none,avg_pool_3x3,nor_conv_1x1,avg_pool_3x3
1286,888,cifar10,88.49,84.6,200,746944,2736133,4.051580429077148,18.252369832992557,43.59035452005628,-1.0,13.8696,7.577780000000003,1.5290345885,14.38163596609415,4.46736,31.27152,-72369789.07032019,1286,78.56193,88.49,nor_conv_3x3,nor_conv_3x3,none,avg_pool_3x3,none,avg_pool_3x3
516,888,cifar10,85.97,73.68,200,696976,2741609,6.202044486999512,28.41776783943176,45.68216123996535,1.7537045640001452,20.0789,9.05234,1.8068573885,11.695887305390931,4.87696,34.138720000000006,772056335.1894914,516,78.56193,85.99,avg_pool_3x3,nor_conv_3x3,nor_conv_3x3,avg_pool_3x3,skip_connect,avg_pool_3x3
249,888,cifar10,92.43,92.22,0,552720,2075249,4.240059852600098,19.10146963596344,24.932325779955136,0.695627835999403,7.71938,5.120180000000001,1.0004950044999998,13.63768779714061,3.83056,26.813920000000003,5705368.069263259,249,51.03681,92.44,nor_conv_1x1,avg_pool_3x3,none,nor_conv_1x1,nor_conv_3x3,none
336,888,cifar10,91.1,88.39,200,744912,2927985,3.9246654510498047,17.454949593544008,23.364113420029753,0.8317511420000301,9.87467,6.348980000000003,1.2824595165,17.923772231415303,4.57296,32.01072,15668485.232540268,336,82.49409,91.1,skip_connect,nor_conv_3x3,nor_conv_1x1,nor_conv_3x3,avg_pool_3x3,none
1105,888,cifar10,93.14,93.1,200,793696,2941811,4.31859016418457,20.12031157493591,38.61344000004465,0.7923434530002851,14.9001,6.348980000000003,1.2824595165,17.923772231415303,4.57296,32.01072,47212642.92677509,1105,82.49409,93.14,avg_pool_3x3,nor_conv_3x3,none,nor_conv_3x3,none,nor_conv_1x1
1084,888,cifar10,93.53,93.43,200,792496,3140833,6.188383102416992,27.64144452412923,42.015426120051416,0.9463506070005678,16.4604,5.120180000000001,1.0358844445,23.09419838304203,4.67856,32.74992,90982556.60340784,1084,86.42625,93.52,nor_conv_3x3,nor_conv_1x1,nor_conv_1x1,nor_conv_3x3,none,skip_connect
889,888,cifar10,91.21,90.09,200,759152,2931059,6.042079925537109,28.15005037307739,41.25746212004742,1.2124013930006186,15.0119,6.348980000000003,1.2824595165,17.923772231415303,4.57296,32.01072,152226656.98758966,889,82.49409,91.21,avg_pool_3x3,none,nor_conv_3x3,nor_conv_1x1,skip_connect,nor_conv_3x3
943,888,cifar10,86.6,10.0,200,766512,2938355,6.037344932556152,27.510168409347536,43.17049051998765,-1.0,17.2769,6.348980000000003,1.2824595165,17.923772231415303,4.57296,32.01072,-147649679.92151344,943,82.49409,86.62,none,nor_conv_1x1,nor_conv_3x3,none,nor_conv_3x3,avg_pool_3x3
1345,888,cifar10,91.79,90.2,200,549232,2099661,5.941343307495117,26.920226526260375,27.446285579935648,-1.0,9.55011,6.594740000000003,1.2783178045,10.214029718600305,4.24016,29.681120000000004,-44478932.44577577,1345,51.03681,91.78,nor_conv_3x3,none,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,nor_conv_1x1
